,City,Latitude,Longitute,Temperature (F),Humidity (%),Cloudiness(%),Wind Speed
0,nova olimpia,-13.316980006009587,-58.15984066867095,73,95,88,2
1,hobart,-44.5437638586225,149.2070823024107,54,62,0,5
2,amurrio,42.87038884294208,-3.064100941014914,48,76,0,1
3,tshikapa,-6.451057374005018,20.77384267780309,85,72,8,2
4,chuy,-44.370821386038095,-40.35866585578876,60,90,0,10
5,jamestown,-25.321492427779404,-0.7636164757523147,61,66,12,4
6,poronaysk,49.451319046600815,144.17791525635778,18,71,0,8
7,henties bay,-23.689496831095084,5.12244155071582,66,87,24,7
9,salalah,17.167453245634064,51.290463738239936,84,66,20,11
10,ilanskiy,56.09692708013202,95.9370745673383,39,57,0,4
13,mar del plata,-70.07935503263897,-23.911587403840855,56,57,0,13
14,rikitea,-73.37296320972234,-140.3150479929438,77,100,48,11
15,busselton,-61.08097101537799,97.76141676942757,72,26,32,17
16,kupang,-10.286489866732794,122.8288663277284,78,88,75,3
17,ilulissat,75.98284171788146,-43.572551179203145,1,70,68,5
19,tuatapere,-53.231569996975445,157.66517502600072,54,74,88,8
20,lodeynoye pole,60.21875370381011,33.39613785870142,31,74,56,8
21,butaritari,21.506697997802306,179.51447223596085,82,100,80,15
22,kapaa,18.295350896774963,-162.1600535965394,68,88,90,5
23,kiunga,-4.794990386138068,140.44641544816466,77,95,56,1
25,ancud,-41.36452678412444,-92.6283120034266,42,87,0,5
26,barrow,75.79748145729778,-163.074243944856,45,91,0,7
27,coquimbo,-25.707855045023948,-81.73304596552043,55,87,90,1
28,tuktoyaktuk,82.76232600685478,-131.0734053669861,21,91,68,14
29,strezhevoy,60.14636278397157,77.82149594479051,35,80,90,11
30,nikolskoye,54.34612475450837,172.1989448906341,32,89,20,8
31,acapulco,7.231196498547803,-102.18887742731212,73,60,5,3
32,airai,10.990538070407723,144.95777069530732,73,87,92,1
33,vaini,-22.862376963821475,-175.02224549370968,91,41,75,9
34,hilo,24.733196431642767,-147.4606834444269,63,77,90,5
35,lata,-5.402929711672783,167.76970227697103,61,65,56,1
36,ushuaia,-87.23793227576877,-20.13237983408058,51,71,40,12
38,punta arenas,-58.59778826864061,-103.32241881806713,51,62,40,24
39,albany,-79.14337225267025,98.42751813780154,19,57,1,3
40,ust-ilimsk,57.3139002069085,101.95395976852996,32,56,44,3
42,orlik,52.78117329323595,99.85709816895599,21,56,20,2
43,yellowknife,68.07208791005536,-118.59354705111488,20,73,90,5
44,talnakh,75.55753346021783,87.24942215056325,27,89,88,22
45,sitka,50.65390297735371,-137.47667002498923,50,80,0,8
46,avarua,-47.01680606590684,-160.42154081749638,78,94,76,2
47,port alfred,-82.43598883499854,40.65510889763627,72,75,48,19
48,atuona,4.760559084855657,-128.00217491436024,82,100,92,16
49,cherskiy,89.64724700032855,162.1729721098361,9,74,80,10
50,victoria,-9.902712429212002,61.190414160851475,84,74,75,8
51,narsaq,74.37732078194014,-65.75074166400965,12,47,0,6
53,okhotsk,57.89004674367911,145.06936254837063,27,72,64,6
54,sao filipe,5.267801767628967,-26.772599744781417,69,99,24,10
55,saint-junien,45.76055292610897,0.7816393635923475,49,49,0,19
56,te anau,-38.52813887786685,163.39621066062523,43,81,12,3
57,roscrea,52.95941316822427,-7.781362935599674,46,79,0,4
58,thompson,72.0112389161637,-99.39278658255934,32,94,90,3
59,bredasdorp,-73.42016043734725,15.595240632697255,78,42,0,4
60,kavaratti,10.576350637578557,65.98914800068192,84,100,0,8
61,wooster,40.887181614220395,-82.06960119977373,24,79,1,3
62,camargo,-20.354004141193784,-64.99727491355554,62,57,0,8
63,vila velha,-22.626400285912297,-30.93613101381038,76,94,40,2
64,santo antonio do ica,-3.097287754048409,-68.0653556824639,76,93,56,4
